title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Furnished 3 Bedroom Apartment,"7,000,000",3.0,3.0,3.0
OFFICE For Rent,42 Saka Tinubu Street Victoria Island Lagos,Tastefully Furnished Office Space,"4,000,000",,,
4 BEDROOM DUPLEX FOR RENT,Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex With Bq,"12,000,000",4.0,4.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Lagos Ologolo Lekki Lagos,Semi Furnished 2 Bedroom Apartment Available,"3,500,000",2.0,2.0,2.0
LAND FOR RENT,Mpape Ii Layout Mpape Ii Layout Mpape Abuja Phase 4 Abuja,816.26 Sqm Of Residential Land,"17,000,000",,,
LAND FOR RENT,New City Layout Owerri Owerri Imo,A Plot Of Land Measuring 500 Sqm,"10,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 2 Bedroom Apartment In A Beautiful Estate,"7,000,000",2.0,2.0,3.0
LAND FOR RENT,Off Nnamdi Court Avenue Kubwa Abuja Phase 4 Abuja,1600sqm Residential Land,"32,000,000",,,
LAND FOR RENT,Idu Sabo Karmo Abuja Phase 3 Abuja,450sqm Estate Land At Dpc Level For Proposed 5 Bedroom Detached Smart Homes With Bq,"13,350,000",,,
4 BEDROOM DUPLEX FOR RENT,Ologolo Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplex With Bq,"6,000,000",4.0,4.0,5.0
LAND FOR RENT,Opposite Dunamis Church Lugbe Abuja Phase 4 Abuja,15 Unit Of 450sqm For 4 Bedroom Fully Detached Duplex,"4,000,000",,,
LAND For Sale,Instant Allocation When You Buy At Citynest Located At Ijako Town Epe Lagos Ajah Lagos,Own Affordable And Futuristic Properties At Citynest Extension,"8,000,000",,,
LAND FOR RENT,Opposite Dunamis Church Lugbe Abuja Phase 4 Abuja,25 Unit Of 500sqm For 5 Bedroom Fully Detached Duplex,"5,000,000",,,
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,4bedroom Terrace Duplex For Rent,"15,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase1 Off Admiralty Way Lekki Lekki Phase 1 Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq For Rent Lekki Phase1,"6,500,000",4.0,4.0,5.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Off Admiralty Way Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,A Room And Parlour Mini Flat Upstairs For Rent Lekki Phase1 Lagos,"2,500,000",1.0,1.0,2.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Idado Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq,"5,500,000",4.0,5.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikoyi Ikoyi Lagos,Tastefully Finished 3 Bedroom Apartment With Bq,"12,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Victoria Island Victoria Island Lagos,3bedroom With A Room Bq Apartment For Rent,"15,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Very Spacious 2 Bedroom Upstairs,"5,000,000",2.0,2.0,2.0
4 BEDROOM TERRACE FOR RENT,Banana Island Ikoyi Ikoyi Lagos,Serviced And Fully Furnished 4 Bedroom Terrace Duplex With Bq,"20,000,000",4.0,5.0,
3 BEDROOM FLAT & APARTMENT FOR RENT,Banana Island Ikoyi Ikoyi Lagos,"Waterfront Serviced 3 Bedroom Apartment With Gym, Bq & Swimming Pool","12,000,000",3.0,4.0,
LAND FOR RENT,Chikakore Kubwa Abuja Phase 4 Abuja,400sqm Land For Fully Detached 4 Bedroom Duplex,"5,000,000",,,
4 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedrooms + Maid Room Serviced Apartments,"15,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Katampe Ext Katampe Ext Abuja Phase 2 Abuja,4 Bedroom Terrace Duplex With Bq,"10,000,000",4.0,,
4 BEDROOM DUPLEX FOR RENT,Osapa Lekki Lagos,Well Built 4 Bedroom Semi Detached Duplex,"6,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Well Secured Estate Olokonla Ajah Lagos,Furnished 3 Bedroom Apartment Flat Ajah,"3,500,000",3.0,3.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Ologolo Lekki Lagos,Brand New 2 Bedroom Flat,"2,700,000",2.0,2.0,3.0
1 BEDROOM MINI FLAT FOR RENT,Off Admiralty Way Off Babatunde Anjose Street Lekki Phase 1 Lekki Lagos,A Room And Parlour Mini Flat In Lekki Phase1 Lagos,"2,500,000",1.0,1.0,2.0
4 BEDROOM DUPLEX FOR RENT,Osapa Lekki Lagos Osapa Lekki Lagos,4 Bedroom Semi Detached Duplex With 2 Rooms Bq,"12,000,000",4.0,6.0,6.0
1 BEDROOM MINI FLAT FOR RENT,Orchid Road Lekki Lagos Lekki Phase 2 Lekki Lagos,Service 1 Room And Palor Apartment,"2,500,000",1.0,1.0,1.0
1 BEDROOM MINI FLAT FOR RENT,Osapa Lekki Lagos,Serviced 1 Bedroom Apartment,"2,500,000",1.0,1.0,2.0
5 BEDROOM TERRACE FOR RENT,Lekki Phase1 Adjacent The Lagoon Front Lekki Phase 1 Lekki Lagos,5 Bedroom Duplex Plus Bq,"12,000,000",5.0,5.0,6.0
LAND For Sale,Eleko Ibeju Lekki Lagos,Invest In Prelaunch Arizon Estate,"8,500,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Near Lagos Business School Ajah Olonkonla Ajah Lagos,2 Bedroom Flat Upstairs,"1,400,000",2.0,2.0,2.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,2bedroom Apartment For Rent In Lekki Phase1,"8,500,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplex,"8,000,000",4.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Ikate Elegushi Lekki Lagos,4 Bedroom Terrace Duplex,"6,000,000",4.0,4.0,4.0
4 BEDROOM HOUSE FOR RENT,Lekki Lagos,Furnished 4 Bedroom Semi Detached Duplex,"7,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lagos Oniru Victoria Island Lagos,Newly Built 4 Bedroom Semi Detached Duplex,"190,000,000",4.0,4.0,4.0
5 BEDROOM TOWNHOUSE FOR RENT,Ikate Elegushi Inside A Mini Estate That Links To Lekki Phase1 Ikate Elegushi Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq For Rent,"7,000,000",5.0,5.0,6.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Idado Lekki Lagos,Tastefully Built 2 Bedroom Apartment,"2,500,000",2.0,2.0,3.0
HOTEL FOR RENT,Ologolo Ologolo Lekki Lagos,A Building Comprising 19 Apartments (ideal For A Hotel),"90,000,000",,,
5 BEDROOM DUPLEX FOR RENT,"Osapa London, Lekki Osapa Lekki Lagos","Elegant 5 Bedroom Fully Detached Duplex With Air Conditioners, 25kva Generator, Bq, Boxroom, Study And Pantry","10,000,000",5.0,5.0,6.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase1 Lekki Phase 1 Lekki Lagos,4 Bedroom Semi Detached Duplex,"10,000,000",4.0,4.0,4.0
4 BEDROOM TERRACE For Rent,Old Ikoyi Lagos,Luxury 4 Bedroom Terrace House+green Area+pool+gym+bq,"1,800,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Riverpark Estate Along Airport Road Lugbe Lugbe Abuja Phase 4 Abuja,2 Bedroom Flat,"2,500,000",2.0,2.0,
4 BEDROOM DUPLEX FOR RENT,Massive Duplex With Spacious Compound Lekki Phase1 Lekki Phase 1 Lekki Lagos,4 Bedroom Semi Detached Duplex,"18,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Seaside Estate Badore Ajah Lagos Badore Ajah Lagos,2 Bedrooms Apartment Flat,"1,400,000",2.0,2.0,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lagos Ologolo Lekki Lagos,Lovely 2 Bedroom Apartment,"3,500,000",2.0,2.0,2.0
LAND FOR RENT,Chikakore Kubwa Abuja Phase 4 Abuja,250sqm Of Land For 3 Bedroom Terrace,"2,500,000",,,
5 BEDROOM DUPLEX FOR RENT,Road 32 Ikota Lekki Lagos Ikota Lekki Lagos,Luxury 5 Bedroom Fully Detached Duplex,"5,500,000",5.0,5.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Oniru Victoria Island Lagos,Standard 2 Bedroom Apartment,"6,000,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Off Freedom Way Lekki Lekki Phase 1 Lekki Lagos,4 Bedroom Terraced Duplex In Lekki Phase1 For Rent,"6,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Osapa London Agungi Lagos Agungi Lekki Lagos,Furnished 2 Bedroom Apartment Flat Ideal For Short Let Is Available For Rent In Osapa London Agungi,"4,500,000",2.0,2.0,3.0
4 BEDROOM DUPLEX For Sale,"Orchid Hotel Road, 2nd Toll Gate Lafiaji Lekki Lagos",Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq,"1,500,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,2bedroom Apartment For Rent In Lekki Phase1,"8,500,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplexe With Bq,"7,500,000",4.0,4.0,5.0
LAND FOR RENT,Iva Green Estate Kuje Abuja Phase 4 Abuja,Estate Lands At Kuje,"2,800,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Agungi Lagos Agungi Lekki Lagos,Massive And Luxurious 3 Bedroom Apartment,"2,500,000",3.0,3.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Lovely 2 Bedroom Apartment With Swimming Pool,"7,000,000",2.0,2.0,3.0
1 BEDROOM MINI FLAT FOR RENT,Agungi Lekki Agungi Lekki Lagos,Mini Flat Room And Parlour Agungi Lekki,"1,200,000",1.0,1.0,2.0
1 BEDROOM MINI FLAT FOR RENT,"Behind Pinnock Beach Estate, Gated And Well Secured Estate Agungi Lekki Lagos",Mini Flat Room And Parlour,"1,600,000",1.0,2.0,2.0
1 BEDROOM MINI FLAT FOR RENT,Chevyview By Chevron Drive Lekki Lagos Chevron Drive Lekki Lagos,Spacious Single Room Mini Flat,"1,500,000",1.0,,1.0
4 BEDROOM TERRACE FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Spacious 4 Bedroom Terrace Duplex,"9,000,000",4.0,4.0,4.0
LAND FOR RENT,"Eagle's Court, Close To Quarry Pyakassa Abuja Phase 4 Abuja",350sqm Eatate Land For A 3 Bedroom Twin Duplex,"3,000,000",,,
4 BEDROOM DUPLEX FOR RENT,"4bedroom Semi Detached Duplex* Location: *atlantic View Estate New Road Chevron, Lekki Lagos* *rent:* N4m Legal:200k Caution:400k Agency Fee:400k Chevron Drive Lekki Lagos",4 Bedroom Semi Detached Duplex Chevron Lekki For Rent,"4,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House +2 Rooms Bq+tennis Etc,"22,000,000",4.0,4.0,5.0
1 BEDROOM SELF CONTAIN FOR RENT,Lekki Phase1 Lagos Off Providence Street Lekki Phase 1 Lekki Lagos,A Standard Single Room Self Contain,"1,400,000",1.0,1.0,1.0
4 BEDROOM TERRACE FOR RENT,Oniru Victoria Island Lagos,4 Bedroom Terrace Duplex In A Beautiful Estate,"9,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Mbora Abuja Phase 3 Abuja,4 Bedroom Semi Detached Duplex With Bq,"4,500,000",4.0,,
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Osapa Lekki Lagos,4 Bedroom Detached Duplex With Bq,"5,000,000",4.0,5.0,5.0
3 BEDROOM DUPLEX FOR RENT,Lekki Ologolo Lekki Lagos,3 Bedroom Semi Detached Duplex With Bq,"3,500,000",3.0,3.0,3.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Parkview Estate Ikoyi Lagos,11 Units Of Furnished 3 & 4 Bedroom Apartment In A Beautiful Estate,"150,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Elegushi Ikate Elegushi Lekki Lagos,2 Bedroom Apartments Flat In Ikate Elegushi Lekki Lagos,"3,000,000",2.0,2.0,3.0
2 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Very Spacious 2 Bedroom Apartment,"4,500,000",2.0,2.0,3.0
1 BEDROOM SHARED APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,A Single Room Shared Apartment Chevyview,"1,200,000",1.0,1.0,1.0
5 BEDROOM DUPLEX For Sale,Osapa Lekki Lagos,Tastefully Finished 5 Bedroom Fully Detached Duplex For Sale At Osapa Lekki Lagos,"7,000,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Bourdillon Ikoyi Ikoyi Lagos,Serviced 4 Bedroom Penthouse,"18,000,000",4.0,5.0,
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,4 Bedroom Semi Detached House,"9,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,Spacious 4 Bedroom Terrace Duplex For Rent,"9,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Riverpark Estate Along Airport Road Lugbe Abuja Phase 4 Abuja,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
3 BEDROOM DUPLEX FOR RENT,Second Toll Gate Lekki Lagos Lekki Phase 2 Lekki Lagos,3 Bedroom Terrace Duplex Self Compound,"4,500,000",3.0,3.0,3.0
2 BEDROOM TERRACE FOR RENT,Ikate Elegushi Lekki Lagos,2 Bedroom Terrace Duplex,"4,500,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex With Spacious Compound And Bq For Rent,"10,000,000",4.0,4.0,5.0
1 BEDROOM SELF CONTAIN FOR RENT,Inside A Secured And Gated Estate Olokonla Ajah Lagos,A Single Room Selfcontain Apartment,"550,000",1.0,1.0,1.0
1 BEDROOM MINI FLAT FOR RENT,Brand New House Upstairs Chevron Drive Close To Ebeano Supermarket Chevron Drive Lekki Lagos,Mini Flat Room And Parlour Upstairs For Rent On Chevron Drive Lekki,"2,000,000",1.0,2.0,2.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Near Lagos Business School Ajah Ajah Ajah Lagos,2 Bedroom Apartment Flat,"1,200,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Lagos Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex,"6,000,000",4.0,5.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","197,500/month",1.0,1.0,2.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lagos Oniru Victoria Island Lagos,3 Bedroom Apartment,"6,000,000",3.0,3.0,3.0
5 BEDROOM DUPLEX FOR RENT,"Off Admiralty Way, Lekki Phase1 Gate Lekki Phase 1 Lekki Lagos",5 Bedroom Semi Detached Duplex With 2 Bedroom Bq,"11,000,000",5.0,5.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Elegushi Lekki Lagos,3bedroom Apartment For Rent,"5,500,000",3.0,3.0,4.0
3 BEDROOM TERRACE FOR RENT,By Nike Art Gallery Lekki Phase 1 Lekki Lagos,Serviced 3 Bedrooms Terrace Duplex With Bq In A Beautiful Estate,"6,500,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Ologolo Lekki Lagos,4bedroom Terrace Duplex For Rent,"7,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Ologolo Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplex With Bq .,"6,000,000",4.0,5.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Inside Secured And Gated Estate Olokonla Ajah Lagos,Newly Renovated 2 Bedroom Apartment Flat,"1,700,000",2.0,2.0,3.0
5 BEDROOM DUPLEX FOR RENT,Lagos Lekki Phase 1 Lekki Lagos,5 Bedroom Fully Detached Duplex,"450,000,000",5.0,5.0,5.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Lovely 4 Bedroom Terrace Duplex With Bq,"13,000,000",4.0,4.0,5.0
6 BEDROOM DUPLEX For Sale,Shoreline Estate Ikoyi Lagos,A Luxurious Furnished 6 Bedroom Waterview Detached Duplex With State Of The Art Facilities,"20,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Bourdillon Ikoyi Lagos,"Luxury 3 Bedroom Apartment With Swimming Pool, Gym And Bq","18,000,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Service 3 Bedroom Apartment With Swimming Pool,"6,000,000",3.0,3.0,3.0
3 BEDROOM TERRACE FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,3 Bedroom Terrace Duplex,"5,000,000",3.0,3.0,3.0
5 BEDROOM DUPLEX FOR RENT,Lekki Lagos Osapa Lekki Lagos,Service 5 Bedroom Terrace Duplex With Swimming Pool,"5,000,000",5.0,5.0,5.0
5 BEDROOM DUPLEX FOR RENT,Lekki Right Lagos Lekki Phase 1 Lekki Lagos,5 Bedroom Detached Duplex,"20,000,000",5.0,5.0,5.0
SHOP FOR RENT,Off Freedom Way Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,Office Space And Shops In Shopping Malls Lekki Phase1 Lagos,"3,080,000",,,
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Osapa Lekki Lagos,4 Bed Semi Detached Duplex,"6,500,000",4.0,4.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,2 Bedroom Apartment Available,"8,000,000",2.0,2.0,2.0
4 BEDROOM TERRACE FOR RENT,Off Freedom Way Ikate Elegushi Lekki Lagos,4 Bedroom Terrace Duplex With Bq,"7,000,000",4.0,4.0,5.0
LAND FOR RENT,Lugbe Lugbe Abuja Phase 4 Abuja,"300sqm Of Estate Land Opposite Dunamis Hq Glory Dome Beside Aym Shafa Filling Station, Lugbe Airport Road.","8,000,000",,,
LAND FOR RENT,Lugbe Lugbe Abuja Phase 4 Abuja,32 Units Of 300sqm Of Land For A 4 Bedroomsemi Detached Duplex Located At Pam Groove Estatd Lugbe.,"3,500,000",,,
4 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedrooms + Maid Room Serviced Apartments,"20,000,000",4.0,4.0,5.0
LAND FOR RENT,Gaduwa Gaduwa Abuja Phase 2 Abuja,Buildable 1004sqm Gaduwa Non Estate Land,"50,000,000",,,
LAND FOR RENT,Apo Apo Abuja Phase 2 Abuja,500sqm Estate Plot In Apo,"10,000,000",,,
LAND FOR RENT,Lugbe Lugbe Abuja Phase 4 Abuja,10 Units Of 400sqm Land Available In An Estate At Lugbe,"4,000,000",,,
LAND FOR RENT,Lugbe Lugbe Abuja Phase 4 Abuja,10 Units Of 350sqm Land Available In An Estate At Lugbe,"3,500,000",,,
LAND FOR RENT,Lokogoma Lokogoma Abuja Phase 2 Abuja,300sqm Residential Land,"11,000,000",,,
LAND FOR RENT,"Airport Road, Off Jedo Estate Lugbe Abuja Phase 4 Abuja",250sqm Estate Land For Proposed 4 Bedroom Terrace,"4,000,000",,,
LAND FOR RENT,Trademore Junction Lugbe Abuja Phase 4 Abuja,"500sqm Land At Pam Groove City, Beside Nipco Filling Station Trademore Junction Lugbe. 10 Units Available","25,000,000",,,
LAND FOR RENT,Apo Apo Abuja Phase 2 Abuja,500sqm Buildable Estate Land,"5,000,000",,,
4 BEDROOM TERRACE FOR RENT,"Ologolo, Opposite Agungi, Lekki Ologolo Lekki Lagos",Brand New 4 Bedroom Terrace Duplex With Bq,"8,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX For Sale,"4bedroom Terrace,4bedroom Semi Detached,4bedroom Fully Detached Duplex And Bq All Available Inside De Castle Max Orchid Road Lekki Lagos. Lekki Lagos",De Castle Max,"50,000,000",3.0,4.0,4.0
3 BEDROOM SHARED APARTMENT FOR RENT,Banana Island Lagos Banana Island Ikoyi Lagos,Exotic Fully Furnished 3 Bedroom Waterfront Apartment With Bq.,"28,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Chevron Tollgate, Lekki Lafiaji Lekki Lagos","2 Bedroom Flat For Rent In Orchid, By 2nd Toll Gate, Lekki","2,000,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Banana Island Ikoyi Lagos,"3 Bedroom Fully Serviced Apartment With Swimming Pool, Gym, Air Conditioners And Bq","15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Chevron Drive Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq,"5,000,000",4.0,4.0,5.0
WAREHOUSE FOR RENT,Idu Idu Abuja Phase 4 Abuja,1000sqm Warehouse,"15,000,000",,,
4 BEDROOM TERRACE FOR RENT,Oniru Victoria Island Lagos,4 Bedroom Terrace Duplex,"6,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Elegushi Lekki Lagos,Lovely 3 Bedroom Apartment For Rent,"4,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Lagos Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex,"5,000,000",4.0,5.0,5.0
4 BEDROOM TERRACE FOR RENT,Ikate Elegushi Lekki Lagos,4 Bedroom Terrace Duplex In A Beautiful Estate,"8,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Agungi Near Osapa London Agungi Lekki Lagos,3 Bedroom Flat In Agungi Lagos,"2,500,000",3.0,3.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Tastefully Finished 2 Bedroom Apartment,"5,000,000",2.0,2.0,3.0
COMMERCIAL PROPERTY For Rent,Agidinbgi Ikeja Lagos,Space/store/ Mini Warehouse,"197,500/month",1.0,1.0,2.0
LAND FOR RENT,"Nnamdi Court Avenu, Arab Road Kubwa Kubwa Abuja Phase 4 Abuja",1627sqm Residential Land,"35,000,000",,,
1 BEDROOM MINI FLAT FOR RENT,Lekki Ologolo Lekki Lagos,1 Bedroom Flat,"2,300,000",1.0,1.0,2.0
5 BEDROOM DUPLEX FOR RENT,Northern Foreshore Estate Chevron Drive Lekki Lagos,New Smart 5 Bedrooms Detached House With 2 Room Bq,"15,000,000",5.0,5.0,6.0
LAND FOR RENT,Burum Apo Abuja Phase 2 Abuja,225sqm Land For 3 Bedroom Bungalow,"600,000",,,
1 BEDROOM MINI FLAT FOR RENT,Lekki Phase 1 Lekki Lagos,Luxurious 1 Bedroom Apartment,"2,500,000",1.0,1.0,1.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Inside Secured And We'll Gated Estate Olokonla Ajah Lagos,Newly Built Room And Parlour Mini Flat In Oloknla Ajah,"1,200,000",1.0,2.0,2.0
LAND FOR RENT,Oppositie Dantata Estate Gwarimpa Abuja Phase 3 Abuja,4 Bedroom Terrace Smart Duplex Plots In Abuja,"29,500,000",,,
2 BEDROOM FLAT & APARTMENT FOR RENT,Near Road 14 And Adebayo Doherty Lekki Phase1 Lekki Phase 1 Lekki Lagos,Well Furnished 2 Bedroom Apartment In Lekki Phase1 For Rent,"5,000,000",2.0,3.0,3.0
5 BEDROOM TERRACE FOR RENT,Lagos Victoria Island Victoria Island Lagos,5 Bedroom Terrace Duplex,"14,000,000",5.0,6.0,6.0
LAND For Sale,Mbaitoli Imo,A Farm On 2.202 Hectares Of Land,"55,000,000",4.0,5.0,5.0
SHOP FOR RENT,Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,Shopping Malls Space,"5,000,000",0.0,0.0,0.0
LAND FOR RENT,"Airport Road, Off Jedo Estate Lugbe Abuja Phase 4 Abuja",600sqm Estate Land For Proposed 4 Bedroom Duplex,"7,000,000",,,
2 BEDROOM TOWNHOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,Newly Built 2 Bedroom Duplex In A Serene Estate,"6,500,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Off Providence Street Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Semi Detached Duplex With Swimming Pool,"12,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,Service 4 Bedroom Terrace Duplex,"8,000,000",4.0,4.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Serice 3 Bedroom Apartment With Bq,"3,500,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Lovely 3 Bedroom Apartment,"4,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Ikate Elegushi Lekki Lagos,4 Bedroom Terrace Duplex,"5,000,000",4.0,4.0,5.0
LAND FOR RENT,King's Worth Apo Abuja Phase 2 Abuja,400sqm Estate Land,"4,000,000",,,
LAND FOR RENT,Mpape Mpape Abuja Phase 4 Abuja,Extra Affordable Buildable 3500sqm Serial Plots,"30,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Gwarimpa Abuja Phase 3 Abuja,Sharp Standard 3 Bedroom Bungalow,"5,000,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"197,500/month",1.0,1.0,2.0
4 BEDROOM TERRACE FOR RENT,Guzape District Guzape Abuja Phase 1 Abuja,Furnished And Serviced 4bedroom Terrace Duplex,"10,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Close To Lagos Business School Ajah Lagos Nigeria Ajah Ajah Lagos,Upstairs 2 Bedroom Apartment Flat,"2,000,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,45 Crescent Gwarimpa Abuja Phase 3 Abuja,4 Bedroom Semi Detached Duplex Available At Gwarinpa.,"6,000,000",4.0,,
LAND FOR RENT,Chikakore Kubwa Abuja Phase 4 Abuja,350sqm Land For 3 Bedroom Semi Detached Duplex,"4,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Osapa London Agungi Lagos Agungi Lekki Lagos,2 Bedroom Apartment For Rent In Agungi,"2,200,000",2.0,2.0,2.0
